Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,28,aucune,any
27,29,place,square
28,30,parle,speak
29,31,compris,understood
30,32,savais,knew
31,33,étaient,were
32,34,attention,Warning
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,42,train,train
41,43,corps,body
42,44,endroit,place
43,45,yeux,eyes
44,46,façon,way
45,47,écoute,listen
47,49,trouve,find
48,50,premier,first
49,51,perdu,lost
50,52,main,hand
51,53,première,first
52,54,côté,side
53,55,pouvoir,power
54,56,vieux,old
55,57,sois,be
56,58,tiens,here
57,59,matin,morning
58,60,tellement,so much
59,61,enfant,child
60,62,point,point
61,63,venu,came
62,64,suite,after
63,65,pardon,sorry
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,cause,cause
75,77,enfin,finally
76,78,espère,hope
77,79,eau,water
78,80,attendez,Wait
79,81,parti,left
80,82,nouvelle,new
81,83,boulot,job
82,84,arrêter,Stop
83,85,dirait,would say
84,86,terre,Earth
85,87,compte,account
86,88,donne,given
87,89,loin,far
88,90,fin,end
89,91,croire,believe
90,92,chérie,sweetheart
91,93,gros,large
92,94,plutôt,rather
93,95,aura,will have
94,96,filles,girls
95,97,jouer,to play
96,98,bureau,office
